County,Location Number,Location,Address,Zip Code,Dates Available,Hours,Early Voting Location,Note,Latitude,Longitude
Hillsborough,1,Apollo Beach Recreation Center,"664 Golf and Sea Blvd, Apollo Beach, FL",33572,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.76473,-82.4119
Hillsborough,2,Austin Davis Public Library,"17808 Wayne Rd, Odessa, FL",33556,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.13481,-82.5765
Hillsborough,3,Bloomingdale Regional Public Library,"1906 Bloomingdale Ave, Valrico, FL",33596,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.89368,-82.2535
Hillsborough,4,Bruton Memorial Library,"302 W McLendon St, Plant City, FL",33563,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.01824,-82.1256
Hillsborough,5,"C Blythe Andrews, Jr Public Library","2607 E Dr Martin Luther King Jr Blvd, Tampa, FL",33610,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.98105,-82.4302
Hillsborough,6,Fred B Karl County Center,"601 E Kennedy Blvd, Tampa, FL",33602,From when VBM ballots are mailed out to Election Day at 7pm,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,27.94834,-82.4548
Hillsborough,7,Jan Kaminis Platt Regional Library,"3910 S Manhattan Ave, Tampa, FL",33611,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.90739,-82.5174
Hillsborough,8,Jimmie B Keel Regional Public Library,"2902 W Bearss Ave, Tampa, FL",33618,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.08687,-82.4923
Hillsborough,9,Maureen B Gauzza Public Library,"11211 Countryway Blvd, Tampa, FL",33626,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.06228,-82.6233
Hillsborough,10,New Tampa Regional Library,"10001 Cross Creek Blvd, Tampa, FL",33647,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.1411,-82.3281
Hillsborough,11,North Tampa Branch Library,"8916 N Blvd, Tampa, FL",33604,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.0324,-82.4684
Hillsborough,12,Northdale Recreation Center,"15550 Spring Pine Dr, Tampa, FL",33624,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.09327,-82.5079
Hillsborough,13,Port Tampa Community Center,"4702 W McCoy St, Tampa, FL",33616,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.86921,-82.5236
Hillsborough,14,Providence West Community Center,"5405 Providence Rd, Riverview, FL",33578,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.89937,-82.3191
Hillsborough,15,Riverview Branch Library,"10509 Riverview Dr, Riverview, FL",33578,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.87154,-82.3295
Hillsborough,16,Robert L Gilder Elections Service Center,"2514 N Falkenburg Rd, Tampa, FL ",33619,From when VBM ballots are mailed out to Election Day at 7pm,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available. ,27.96593,-82.3357
Hillsborough,17,SouthShore Regional Library,"15816 Beth Shields Way, Ruskin, FL ",33573,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.73699,-82.3697
Hillsborough,18,Northwest Elections Office,"4575 Gunn Hwy, Tampa, FL ",33624,From when VBM ballots are mailed out to Election Day at 7pm,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available. ,28.04976,-82.5197
Hillsborough,19,Southeast Elections Office,"10020 S US Hwy 301, Riverview, FL ",33578,From when VBM ballots are mailed out to Election Day at 7pm,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,27.85427,-82.3256
Hillsborough,20,USF TECO Hall (David C Anchin Center),"4110 USF Apple Dr, Tampa, FL ",33620,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.06065,-82.4108
Hillsborough,21,Temple Terrace Public Library,"202 Bullard Pkwy, Temple Terrace, FL ",33617,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.03291,-82.3912
Hillsborough,22,Town 'N Country Regional Public Library,"7606 Paula Dr, Tampa, FL",33615,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.99881,-82.5658
Hillsborough,23,University Area Community Center,"14013 N 22nd St, Tampa, FL ",33613,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,28.074,-82.4327
Hillsborough,24,West Tampa Branch Library,"2312 W Union St, Tampa, FL",33607,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available,27.95776,-82.4834
Hillsborough,25,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL",33607,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available. New Early Voting location.,27.97871,-82.503
Hillsborough,26,Amalie Arena,"401 Channelside Dr. Tampa, FL ",33602,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available. New Early Voting location.,27.9427,-82.4518
Holmes,1,Holmes County Courthouse,"201 N Oklahoma Street, Suite 102, Bonifay, FL",32425,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside. ,30.79402,-85.6784
Indian River,1,Sebastian City Hall Council Chambers,"225 Main Street, Sebastian, FL",32958,October 19th - October 31st,8:00 a.m. to 4:00 p.m.,Yes,,27.81036,-80.4846
Indian River,2,Indian River County Main Library,"1600 21st Street, Vero Beach, FL",32960,October 19th - October 31st,8:00 a.m. to 4:00 p.m.,Yes,,27.64045,-80.4019
Indian River,3,Indian River County Supervisor of Election Office,"4375 43rd Avenue, Vero Beach, FL",32967,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located inside the office but people have access to it 24/7,27.67276,-80.4303
Jackson,1,Supervisor of Elections Office,"2851 Jefferson Street, Marianna, FL",32448,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,"Drop box is outside during office hours and brought back in at night, but there's a slot on the door where voters can drop off their ballots 24/7",30.77287,-85.2268
Jackson,2,Graceville City Hall,"5348 Cliff Street, Graceville, FL",32440,October 19th - October 31st,8:00 a.m. to 5:00 p.m. on M-S; 9:00 a.m. to 5:00 p.m. on Sunday,Yes,,30.95724,-85.514
Jackson,3,Sneads City Hall,"2028 Third Avenue, Sneads, FL",32460,October 19th - October 31st,8:00 a.m. to 5:00 p.m. on M-S; 9:00 a.m. to 5:00 p.m. on Sunday,Yes,,30.7103,-84.9199
Jefferson,1,Election Office,"1175 W Washington Street, Monticello, FL",32344,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,There will be two dropboxes: one inside and one outside,30.54452,-83.8808
Lafayette,1,Supervisor of Elections Office,"120 W Main St #129, Mayo, FL",32066,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop Box is located outside,30.05339,-83.1757
Lake,1,Cagan Crossings Library,"16729 Cagan Oaks, Clermont, FL",34714,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.35624,-81.6786
Lake,2,Clermont Arts and Recreation Center,"3700 S Hwy 27, Clermont, FL",34711,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.50526,-81.721
Lake,3,Cooper Memorial Library,"2525 Oakley Seaver Dr, Clermont, FL",34711,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.55248,-81.709
Lake,4,Eustis Service Center,"301 W Ward Ave, Eustis, FL",32726,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.84919,-81.6887
Lake,5,Lady Lake Public Library; 2nd Floor,"225 W Guava St, Lady Lake, FL",32159,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.91815,-81.9249
Lake,6,Lake County Administration Building,"315 W Main St, Tavares, FL",32778,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.8018,-81.7297
Lake,7,Leesburg Public Library,"100 E Main St, Leesburg, FL",34748,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.81105,-81.8751
Lake,8,Minneola City Hall,"800 N US Hwy 27, Minneola, FL",34715,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.59,-81.7521
Lake,9,Southside Umatilla Community Center,"17107 Ball Park Rd, Umatilla, FL",32784,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.91504,-81.6729
Lake,10,Supervisor of Elections Office,"1898 E Burleigh Blvd, Tavares, FL ",32778,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop Box is located outside,28.82175,-81.7105
Lake,11,W.T. Bland Public Library,"1995 N Donnelly St, Mount Dora, FL ",32757,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.81365,-81.6459
Lee,1,Cape Coral - Lee County Library,"921 SW 39TH TER, CAPE CORAL, FL ",33914,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,26.57996,-81.995
Lee,2,Dr. Carrie D. Robinson Center,"2990 EDISON AVE, FORT MYERS,  FL ",33916,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,26.63255,-81.8497
Lee,3,East County Rregional Library,"881 GUNNERY RD N,  LEHIGH ACRES, FL ",33971,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,26.62209,-81.7163
Lee,4,Estero Recreation Center,"9200 CORKSCREW PALMS BLVD, ESTERO, FL ",33928,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,26.42731,-81.8015
Lee,5,Lee County Elections Bonita Springs Branch Office,"25987 S TAMIAMI TRAIL, #105, BONITA SPRINGS, FL ",34134,From when VBM ballots are mailed out to Election Day at 7pm,8:30 a.m. to 6:00 p.m.,Yes,,26.36359,-81.8076
Lee,6,Lee County Elections - Cape Coral Branch Office,"1039 SE 9TH AVE, CAPE CORAL, FL",33990,From when VBM ballots are mailed out to Election Day at 7pm,8:30 a.m. to 6:00 p.m.,Yes,,26.63239,-81.956
Lee,7,Lee County Elections Center,"13180 S CLEVELAND AVE, FORT MYERS, FL ",33907,From when VBM ballots are mailed out to Election Day at 7pm,8:30 a.m. to 6:00 p.m.,Yes,,26.55037,-81.8745
Lee,8,North Fort Myers Recreation Center,"2000 N RECREATION PARK WAY, NORTH FORT MYERS, FL ",33903,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,26.6884,-81.8896
Lee,9,Northwest Rregional Library,"519 CHIQUITA BLVD N, CAPE CORAL, FL ",33993,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,26.66244,-82.0063
Lee,10,Veterans Park Recreaation Center,"55 HOMESTEAD RD S, LEHIGH ACRES, FL ",33936,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,26.59634,-81.6316
Lee,11,Riverside Community Center,"3061 E RIVERSIDE DR, FORT MYERS, FL",33916,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,New Early Voting location,26.65741,-81.8531
Lee,12,Lee County Eelections - Main Office,"2480 Thompson St, 3rd Floor, Fort Myers, FL",33901,From when VBM ballots are mailed out to Election Day at 7pm,8:30 a.m. to 5:00 p.m.,No,,26.64135,-81.863
Leon,1,B L Perry Library,"2817 S Adams St, Tallahassee, FL ",32301,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,30.41056,-84.2823
Leon,2,Eastside Branch Library,"1583 Pedrick Rd, Tallahassee, FL",32317,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,30.47368,-84.1821
Leon,3,FAMU Student Union Multi-Purpose Room C,"1628 S Martin Luther King Jr. Blvd, Tallahassee, FL",32307,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,30.42,-84.28
Leon,4,FSU Tucker Center (East Entrance),"505 W Pensacola St, Tallahassee, FL",32301,October 19th - November 1st,10:00 a.m. to 6:00 p.m.,Yes,,30.43727,-84.288
Leon,5,Lake Jackson Community Center,"3840 N Monroe St, Tallahassee, FL",32303,October 19th - November 1st,10:00 a.m. to 6:00 p.m.,Yes,,30.50177,-84.332
Leon,6,Leon County Courthouse Plaza Level,"301 S Monroe St, Tallahassee, FL",32301,October 19th - November 1st,8:00 a.m. to 4:00 p.m.,Yes,,30.43968,-84.28
Leon,7,Northeast Branch Library,"5513 Thomasville Rd,Tallahassee, FL",32312,October 19th - November 1st,10:00 a.m. to 6:00 p.m.,Yes,,30.54461,-84.2258
Leon,8,IVS Election Center,"2990-1 Apalachee Pkwy, Tallahassee, FL",32301,From when VBM ballots are mailed to Election Day at 7pm,10:00 a.m. to 6:00 p.m.,Yes,,30.42843,-84.2289
Leon,9,Woodville Community Center,"8000 Old Woodville Rd, Tallahassee, FL",32305,October 19th - November 1st,10:00 a.m. to 6:00 p.m.,Yes,,30.33164,-84.253
Leon,10,Fort Braden Community Center,"16387 Blountstown Hwy, Tallahassee, FL ",32310,October 19th - November 1st,10:00 a.m. to 6:00 p.m.,Yes,,30.426,-84.5347
Levy,1,Supervisor of Elections Office,"421 S. Court Street, Bronson, FL",32621,From when VBM ballots are mailed to Election Day at 7pm,24/7,Yes,Drop box will be located outside.,29.44552,-82.6355
Liberty,1,Liberty County Courthouse,"10818 NW, FL-20, Bristol, FL ",32321,From when VBM ballots are mailed to Election Day at 7pm,24/7,Yes,Drop box will be located outside.,30.41928,-84.978
Liberty,2,Hosford/Telogia Fire Department,"17081 NE State Road 65, Hosford, FL",32334,October 20th - October 31st,24/7,Yes,Drop box will be located outside.,30.38561,-84.7987
Madison,1,Madison County Annex EV Site 10,"229 SW Pinckney St., Madison, FL",32340,October 19th - October 31st,8:00 a.m. to 6:00 p.m. on M-F; 7:00 a.m. to 3:00 p.m. on Saturday and Sunday,Super Voting center,,30.4686,-83.4123
Madison,2,Greenville Senior Citizens Building EV Site 5,"166 SW Onslow St, Greenville, FL",32331,October 19th - October 31st,8:00 a.m. to 6:00 p.m. on M-F; 7:00 a.m. to 3:00 p.m. on Saturday and Sunday,Super Voting center,,30.46882,-83.6316
Madison,3,Lee City Hall EV Site 3,"286 NE CR 255, Lee, FL",32059,October 19th - October 31st,8:00 a.m. to 6:00 p.m. on M-F; 7:00 a.m. to 3:00 p.m. on Saturday and Sunday,Super Voting center,,30.42245,-83.3002
Madison,4,Pinetta Vol. Fire Dept. EV Site 8,"509 NE Persimmon Dr, Pinetta, FL",32350,October 19th - October 31st,8:00 a.m. to 6:00 p.m. on M-F; 7:00 a.m. to 3:00 p.m. on Saturday and Sunday,Super Voting center,,30.59492,-83.3539
Madison,5,Supervisor of Elections Office,"239 SW Pinckney St., Madison, FL",32340,From when VBM ballots are mailed to Election Day at 7pm,24/7,No,Drop box will be located outside.,30.4686,-83.4125
Manatee,1,FL Dept of Transportation Operations Office,"14000 SR 64 E, Bradenton, FL ",34212,October 19th - November 1st,8:30am to 6:30pm,Yes,,27.4742,-82.4003
Manatee,2,Lakewood Ranch Town Hall,"8175 Lakewood Ranch Blvd, Lakewood Ranch, FL",34202,October 19th - November 1st,8:30am to 6:30pm,Yes,,27.3953,-82.4374
Manatee,3,Manatee County Utilities Administration Offices,"4410 66th St W, Bradenton, FL",34210,October 19th - November 1st,8:30am to 6:30pm,Yes,,27.4614,-82.6275
Manatee,4,Palmetto Library,"923 6th St W, Palmetto, FL",34221,October 19th - November 1st,8:30am to 6:30pm,Yes,,27.51608,-82.5753
Manatee,5,Rocky Bluff Library,"6750 US Hwy 301, Ellenton, FL",34222,October 19th - November 1st,8:30am to 6:30pm,Yes,,27.53497,-82.4946
Manatee,6,Supervisor of Elections Office,"600 301 Blvd W, Bradenton, FL",34205,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box will be located outside.,27.47006,-82.5676
Marion,1,Marion County Election Center,"981 NE 16th St, Ocala, FL",34470,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box will be located outside.,29.20359,-82.1265
Marion,2,Belleview Public Library,"13145 SE HWY 484, Belleview, FL ",34420,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,29.03232,-82.0624
Marion,3,Deputy Brian Litz Building,"9048 SW HWY 200, Ocala, FL ",34481,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,29.06675,-82.2692
Marion,4,Dunnellon Public Library,"20351 Robinson Rd, Dunnellon, FL ",34431,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,29.05859,-82.4572
Marion,5,Forest Public Library,"905 S HWY 314A, Ocklawaha, FL ",32179,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,29.17786,-81.8913
Marion,6,Freedom Public Library,"5870 SW 95th St, Ocala, FL",34476,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,29.08426,-82.2169
Marion,7,Mulberry Center (Liberty Rm),"8445 SE 165th Mulberry Ln, The Villages, FL",32162,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,28.98131,-82.0129
Marion,8,Reddick Community Center,"4345 NW 152nd St, Reddick, FL ",32686,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,29.37005,-82.1971
Marion,9,Silver Springs Shores Community Ctr.,"590 Silver Rd, Ocala, FL ",34472,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,29.10644,-82.0045
Martin,1,Martin County Elections Office,"135 SE Martin Luther King Jr. Blvd, Stuart, FL",34994,October 19th - October 31st,8:00 a.m. to 5:00 p.m.,Yes,,27.19416,-80.2505
Martin,2,Hoke Library,"1150 NW Jack Williams Way, Jensen Beach, FL",34957,October 19th - October 31st,8:00 a.m. to 5:00 p.m.,Yes,,27.24714,-80.2684
Martin,3,Peter & Julie Cummings Library,"2551 SW Matheson Ave, Palm City, FL",34990,October 19th - October 31st,8:00 a.m. to 5:00 p.m.,Yes,,27.17372,-80.2777
Martin,4,Robert Morgade Library,"5851 SE Community Dr, Stuart, FL",34997,October 19th - October 31st,8:00 a.m. to 5:00 p.m.,Yes,,27.13418,-80.2207
Martin,5,Elisabeth Lahti Library,"15200 SW Adams Ave, Indiantown, FL",34956,October 19th - October 31st,8:00 a.m. to 5:00 p.m.,Yes,,27.0221,-80.4658
Martin,6,Hobe Sound Library,"10595 SE Federal Hwy, Hobe Sound, FL",33455,October 19th - October 31st,8:00 a.m. to 5:00 p.m.,Yes,,27.07622,-80.1419
Miami-Dade,1,Coral Gables Branch Library,"3443 Segovia Street, Coral Gables, FL",33134,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.73975,-80.2659
Miami-Dade,2,Coral Reef Branch Library,"9211 SW 152ND Street, Miami, FL",33157,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.62933,-80.3429
Miami-Dade,3,Elections Department (Main Office),"2700 NW 87TH Avenue, Doral, FL",33172,From when VBM ballots are mailed out to Election Day at 7pm,7:00 a.m. to 7:00 p.m.,Yes,Also opened on 11/2 and 11/3 from 7am to 7pm,25.8002,-80.3386
Miami-Dade,4,Florida International University,"11200 SW 8TH Street, Miami, FL",33199,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.76055,-80.3762
Miami-Dade,5,Historic Garage,"3250 S Miami Avenue, Miami, FL",33129,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.74436,-80.2105
Miami-Dade,6,Homestead Community Center,"1601 N. Krome Avenue, Homestead, FL",33030,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.48588,-80.4765
Miami-Dade,7,John F. Kennedy Library,"190 W 49TH Street, Hialeah, FL",33012,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.86572,-80.285
Miami-Dade,8,Joseph Caleb Center Community Meeting Room,"5400 NW 22ND Avenue,Building A, Miami, FL",33142,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.8251,-80.2338
Miami-Dade,9,Kendall Branch Library,"9101 SW 97TH Avenue, Miami, FL",33176,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.68566,-80.3503
Miami-Dade,10,Lemon City Library,"430 NE 61ST Street, Miami, FL",33137,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.83237,-80.187
Miami-Dade,11,Miami Beach City Hall,"1700 Convention Center Drive, Miami Beach, FL",33139,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.79281,-80.1355
Miami-Dade,12,Miami Dade College Kendall Campus,"11011 SW 104TH Street, Building K, Miami, FL",33176,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.67286,-80.3768
Miami-Dade,13,Miami Dade College North Campus (Library),"11380 NW 27TH Avenue, Building 2, Miami, FL",33167,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.87804,-80.243
Miami-Dade,14,Miami Lakes Community Center,"15151 NW 82ND Avenue, Miami Lakes, FL",33016,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.91346,-80.333
Miami-Dade,15,North Dade Regional Library,"2455 NW 183RD Street, Miami Gardens, FL",33056,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Also open on 11/2 and 11/3 from 7am to 7pm,25.94171,-80.2424
Miami-Dade,16,North Miami Public Library,"835 NE 132ND Street, North Miami, FL",33161,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.8972,-80.1818
Miami-Dade,17,North Shore Branch Library,"7501 Collins Avenue, Miami Beach, FL",33141,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.86095,-80.1207
Miami-Dade,18,Northeast Dade-Aventura Branch Library,"2930 Aventura Boulevard, Aventura, FL",33180,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.9604,-80.1427
Miami-Dade,19,South Dade Regional Library,"10750 SW 211TH Street, Cutler Bay, FL",33189,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Also open on 11/2 and 11/3 from 7am to 7pm,25.57096,-80.3657
Miami-Dade,20,Stephen P. Clark Gov't Center,"111 NW 1ST Street, Miami, FL",33128,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Also open on 11/2 and 11/3 from 7am to 7pm,25.77561,-80.1967
Miami-Dade,21,West Dade Regional Library,"9445 SW 24TH Street, Miami, FL",33165,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.74836,-80.3478
Miami-Dade,22,West Kendall Regional Library,"10201 Hammocks Boulevard, Miami, FL",33196,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.67225,-80.4431
Miami-Dade,23,West Miami Community Center,"901 SW 62ND Avenue West, Miami, FL",33144,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,25.76228,-80.2953
Miami-Dade,24,Arcola Lakes Branch Library,"8240 NW 7th Avenue, Miami, FL",33150,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.85023,-80.2099
Miami-Dade,25,California Club Branch Library,"700 Ives Dairy Rd, Miami, FL",33179,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.96021,-80.1884
Miami-Dade,26,Florida City Youth Activity Center,"650 NW 5th Avenue, Doral, FL ",33172,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.45566,-80.4839
Miami-Dade,27,International Mall Branch Library,"10315 NW 12th St, Doral, FL ",33172,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.78427,-80.3623
Miami-Dade,28,Naranja Branch Library,"14850 SW 280th St, Homestead, FL ",33032,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.50629,-80.4306
Miami-Dade,29,Palmetto Bay Branch Library,"17641 Old Cutler Rd, Palmetto Bay, FL",33157,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.60692,-80.3113
Miami-Dade,30,Phillip and Patricia Frost Museum of Science,"1101 Biscayne Blvd, Miami, FL",33132,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.7853,-80.1877
Miami-Dade,31,Pinecrest Branch Library,"5835 SW 111th St, Pinecrest, FL",33156,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.66865,-80.2868
Miami-Dade,32,Shenandoah Branch Library,"2111 SW 19th St, Miami, FL",33145,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.75534,-80.2293
Miami-Dade,33,Kendale Lakes Branch Library,"15205 SW 88th St, Miami, FL",33176,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,New Early Voting location,25.68519,-80.4416
Monroe,1,Supervisor of Elections Office,"530 Whitehead St, #101, Key West, FL",33040,From when VBM ballots are mailed out to Election Day at 7pm,8:30 a.m. to 5:00 p.m. Closes at 7pm on election day.,Yes,Drop box is located outside but only available during office hours. ,24.55411,-81.8037
Monroe,2,Supervisor of Elections Office,"10015 Overseas Hwy, Marathon, FL",33050,From when VBM ballots are mailed out to Election Day at 7pm,8:30 a.m. to 5:00 p.m. Closes at 7pm on election day.,Yes,Drop box is located outside but only available during office hours. ,24.72754,-81.0425
Monroe,3,Supervisor of Elections Office,"102050 Overseas Hwy, #137, Key Largo, FL",33037,From when VBM ballots are mailed out to Election Day at 7pm,8:30 a.m. to 5:00 p.m. Closes at 7pm on election day.,Yes,Drop box is located outside but only available during office hours. ,25.12141,-80.4184
Monroe,4,Big Pine Key Community Park,"31009 Atlantis Dr, Big Pine Key, FL",33043,October 19th - October 31st,8:30 a.m. to 5:00 p.m.,Yes,,24.67866,-81.3464
Monroe,5,Islamorada Branch Library,"81830 Overseas Hwy,, MM. 81.7, Islamorada, FL",33036,October 19th - October 31st,8:30 a.m. to 5:00 p.m.,Yes,,24.9176,-80.6364
Nassau,1,Atlantic Recreation Center,"2500 Atlantic Ave, Fernandina Beach, FL",32034,October 19th - November 1st,9:00 a.m. to 6:00 p.m.,Yes,,30.66746,-81.4362
Nassau,2,Hilliard Community Center,"37177 Pecan Street, Hilliard, FL",32046,October 19th - November 1st,9:00 a.m. to 6:00 p.m.,Yes,,30.69075,-81.9194
Nassau,3,James S. Page Governmental Complex,"96135 Nassau Place, Yulee, FL",32097,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside.,30.62561,-81.5379
Nassau,4,Callahan Library,"450077 State Road 200, #15, Callahan, FL",32011,October 19th - November 1st,9:00 a.m. to 6:00 p.m.,Yes,,30.5683,-81.8265
Nassau,5,Yulee Sports Complex,"86142 Goodbread Road, Yulee, FL",32097,October 19th - November 1st,9:00 a.m. to 6:00 p.m.,Yes,,30.63779,-81.605
Okaloosa,1,County Administration Building,"1250 Eglin Pkwy, Shalimar, FL",32579,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,30.44597,-86.5805
Okaloosa,2,Crestview Library,"1446 Commerce Dr, Crestview, FL ",32539,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,,30.79087,-86.5568
Okaloosa,3,Crestview Office,"302 Wilson St N, Crestview, FL ",32536,From when VBM ballots are mailed out to Election Day at 7pm,7:00 a.m. to 7:00 p.m. during early voting; 8:00 a.m. to 5:00 p.m. outside of early voting. Closes at 7pm on Election day.,Yes,Drop box is located inside.,30.75879,-86.5717
